CATEGORY,TOTAL_COMMITS_WITH_CATEGORY,PROPORTION_OVER_ALL_COMMITS (%),MACRO_CATEGORY
SERVICE_PANIC_DEFECT,215,19.76103,SERVICE
SERVICE_RESOURCE_DEFECT,933,85.75368,SERVICE
