HASH,CATEG,REPO,TIME
4e3c67420c605187815dd5d4accad05904a791fd,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/ts-lb-simple/index.ts,2022-11-22T06-27-30
f19a9d6a5f760fbed0222713e589f2fd163d083a,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/cloudtrail/go/main.go,2022-05-04T18-58-14
6a3ef222d095b0c171bd0d7fa386ffb9ce257ca6,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/vpc/nodejs/default-args/index.ts,2022-04-28T23-33-54
54db01fb2225f199387c83b1cc9f555423d825e6,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/ts-ecr-simple/index.ts,2022-04-28T21-39-30
12b0fc1c7c029241ec288add123698c0de744e33,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/ts-lb-simple/index.ts,2022-04-27T17-54-06
c6f41c68135a8fa24fa6ec0566965b8db5e33e97,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/index.base.ts,2022-07-22T10-05-58
80cde48bf715926236a1e27dffad509a78b06024,CONDITIONAL_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/__main__.base.py,2021-06-10T18-36-46
80cde48bf715926236a1e27dffad509a78b06024,CONFIG_DATA_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/__main__.base.py,2021-06-10T18-36-46
80cde48bf715926236a1e27dffad509a78b06024,SYNTAX_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/__main__.base.py,2021-06-10T18-36-46
6ab8225fc33256f7593027b6d8c58be11588a330,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/__main__.base.py,2021-06-10T17-54-27
8b2f5a888f663eb632a1b2a56ce5346108091032,CONDITIONAL_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/__main__.base.py,2021-06-10T14-40-00
8b2f5a888f663eb632a1b2a56ce5346108091032,DEP_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/__main__.base.py,2021-06-10T14-40-00
8468fd1bb6e2f9a016eee544f6baa5628fcce7b0,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/__main__.base.py,2021-06-10T13-36-26
06bc891e3f07d65ed6e39c9f427c4e2613356a3f,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/__main__.base.py,2021-01-28T16-40-11
b89a6c76b6632ac9ddde9d0720c20009766a46a5,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/__main__.base.py,2020-05-01T09-34-38
f4b4dfd421f4beaaf712c4a4ad04db8d417180fd,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/misc/import-go/resourceTypeMappings.go,2020-04-20T20-19-38
5066c5e9edb34fa48960699da1e61e32beb27c8d,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/index.base.ts,2020-02-03T15-53-08
ca04df9e88a0e9ba3cad22fffd8367301cc5bc5e,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/lb-listener/index.base.ts,2019-09-30T10-22-10
e8e20c0e2f1ce61184b1354235fc46c8f2455ceb,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/index.base.ts,2019-09-24T16-27-23
cabd8acd6cebd4337af9bb838c145c745f9248bc,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/lb-listener/index.base.ts,2019-09-24T10-15-02
302ebabfb6e32f31adf49a2fc853d8b7f08a688f,CONFIG_DATA_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/index.base.ts,2019-08-15T10-35-18
302ebabfb6e32f31adf49a2fc853d8b7f08a688f,DEP_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/index.base.ts,2019-08-15T10-35-18
05104e08c8f86a111af2768ed381e132410bdaf2,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/index.base.ts,2019-05-14T13-45-14
4ebfb0d9449fd3e839d317bb808c3d0f42e47cd3,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/lb-listener/index.base.ts,2019-05-13T17-15-23
24a564c1da6a3f33e78af84ccd6d23515629fd30,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/lb-listener/index.base.ts,2019-02-07T15-33-01
852abcaba5c025af1eda3ed2b4099a5916761a43,DEP_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/lb-listener/index.base.ts,2019-02-06T11-21-36
852abcaba5c025af1eda3ed2b4099a5916761a43,SYNTAX_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/lb-listener/index.base.ts,2019-02-06T11-21-36
683e9f5a01bda22d512a2fa5b93c383029674b3f,BUGGY_COMMIT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/lb-listener/index.base.ts,2019-02-04T11-50-02
2beb84754877d6aa0a1a73fab3f97a5cb9968c08,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/kubernetes-gcp-go/main.go,2024-09-20T15-48-01
