HASH,CATEG,REPO,TIME
09e01203e9bc5ba3c254485a09ddae7163f9790e,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/ecs/python/Pulumi.yaml,2022-04-30T00-21-10
c3c7a654b2d20ce22cbd291e49d37a1214f8ec6b,DOC_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/ts-lb-attach-ec2/Pulumi.yaml,2022-04-29T14-34-31
c3c7a654b2d20ce22cbd291e49d37a1214f8ec6b,SYNTAX_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/ts-lb-attach-ec2/Pulumi.yaml,2022-04-29T14-34-31
dca3355890efcf600edc50d5a1dfe50bd3ec6d5d,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/vpc/nodejs/specific-vpc-layout/Pulumi.yaml,2022-04-29T12-32-18
f5c70cd9e16e27243a9490567627d332f357af11,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/ts-nlb-simple/Pulumi.yaml,2022-04-28T15-25-35
58ac9e3e78356cd2471f1de1ba58e60e6a073f4c,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/ts-vpc-getDefaultVpc/Pulumi.yaml,2022-04-27T13-57-36
17270dda2d6da5e22dac5157f0cb086dabc8394c,CD_CREDENTIAL_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/ts-ecr-simple/Pulumi.yaml,2022-04-27T10-05-16
17270dda2d6da5e22dac5157f0cb086dabc8394c,SERVICE_PANIC_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/ts-ecr-simple/Pulumi.yaml,2022-04-27T10-05-16
4404ea9829482e016acad0b388e7d08002fc52dc,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/vpc/nodejs/default-args/Pulumi.yaml,2022-04-26T16-07-25
1a1a63989291a9f2a0ca0663aad044d8853d6195,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/ts-lb-simple/Pulumi.yaml,2022-04-22T13-15-29
ba6988f61c59d351c2780a36338badb6617dc653,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/132053036/examples/cloudtrail/go/Pulumi.yaml,2022-04-20T18-40-06
0c59469a4837706b084e7451ab51b457369caf58,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/cognito-user-pool/main.tf,2023-06-12T07-29-32
71f7aa27881cee23596c9057f1e79789468cd889,BUGGY_COMMIT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/main.tf,2022-02-16T14-21-36
d73c9f79f85008317a262a7d1ce4ab3afb32c71a,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/asg/variables.tf,2020-09-30T18-16-33
4d469ac9fb38ba9d33cce60c1761c77148a5669d,SERVICE_RESOURCE_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/misc/import-go/Pulumi.yaml,2020-04-17T15-22-30
1cceb8b20b3b380a6b0e9047468b7de82300e8ce,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/cognito-user-pool/main.tf,2020-02-03T13-10-42
657dea4df3b89b8884c18fac598876c5e3d01e79,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/networking/region/variables.tf,2019-09-23T12-47-30
722c0170ba5470b737b8c658f5b037f040c7c545,BUGGY_COMMIT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/gcp/record_set/Pulumi.yaml,2019-09-18T09-48-15
722c0170ba5470b737b8c658f5b037f040c7c545,SECURITY_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/gcp/record_set/Pulumi.yaml,2019-09-18T09-48-15
c6cf4edaf0fbe7a52101066a5cacffda61f467e4,BUGGY_COMMIT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/main.tf,2019-03-28T09-59-13
c6cf4edaf0fbe7a52101066a5cacffda61f467e4,SERVICE_PANIC_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/main.tf,2019-03-28T09-59-13
c6cf4edaf0fbe7a52101066a5cacffda61f467e4,SYNTAX_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/ec2/main.tf,2019-03-28T09-59-13
b704b432a1f65835b4459771d66102af0abcf0a1,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/random/random-integer/Pulumi.yaml,2019-03-18T12-54-35
da4e6acb007c2fc5949f3e7b78e4ada9a61a23ee,CD_NETWORK_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/count/main.tf,2019-02-08T13-38-32
da4e6acb007c2fc5949f3e7b78e4ada9a61a23ee,DOC_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/count/main.tf,2019-02-08T13-38-32
a9bb454e48c904712e3de05931912c28d25adacb,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/lb-listener/main.tf,2018-12-29T17-29-10
6703b77a35d543f67c24e8bb6585de4e35d6e56a,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/cognito-user-pool/main.tf,2018-12-18T12-03-49
9f5ecb19c9200f9052f71b31cc09d19f5050fe48,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/elb2/main.tf,2018-11-01T17-44-56
44c7c4d63c07ca57ac5257658737d6e0961095c0,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/count/main.tf,2018-10-23T10-23-41
dc1dc55008660ca6c43fea9d6bf098f944a15ba3,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/140354089/tests/terraform/aws/count/outputs.tf,2018-09-28T09-25-12
6dfdecdc0025741be49d3fa08a24038e80e66a9b,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/yaml/Pulumi.yaml,2024-10-16T11-24-47
d73ca1d9175b5763a1ccd982930f4cea48c8d7c9,BUGGY_COMMIT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/yaml/Pulumi.yaml,2024-10-11T19-16-58
39e11d68ddced99eb07c93a03c8eadf7ee19a723,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/yaml/Pulumi.yaml,2024-10-02T13-53-37
9deaf80acf446195454329615d03d13fc0ef3c54,BUGGY_COMMIT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/yaml/Pulumi.yaml,2024-09-30T22-07-58
c873866a1c4270558d3c35f630cf08645f26b9bb,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/yaml/Pulumi.yaml,2024-09-24T10-41-22
edcec6dea2bbd1c6ac9da778ff8e3a95e956990a,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/yaml/Pulumi.yaml,2024-02-16T16-24-39
e7d1632f615aa2cc728c1b3f5a64bdcd1c2812d3,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/yaml/Pulumi.yaml,2024-01-21T13-18-57
f351dd296bbbeded2b07414d94a7de61ca762c1e,BUGGY_COMMIT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/yaml/Pulumi.yaml,2024-01-15T19-42-14
b1f67c67253c023b3e29f088c4b6c1b6355dd6ea,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/yaml/Pulumi.yaml,2024-01-15T06-55-17
88cb51296cdf9996044ae3cd76659ec83e4143ab,CONFIG_DATA_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/kubernetes-java/Pulumi.yaml,2023-12-06T18-18-40
88cb51296cdf9996044ae3cd76659ec83e4143ab,DEP_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/kubernetes-java/Pulumi.yaml,2023-12-06T18-18-40
68de34e9addaef63e08e8e68894ea6b5edb3a1f1,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/kubernetes-java/Pulumi.yaml,2023-12-06T14-29-04
ca02c139abf9a6b8bf4b155d7af40fca334663a2,NO_DEFECT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/kubernetes-gcp-go/Pulumi.yaml,2023-12-05T22-08-23
b0838e582353b494100378a94d92da7b0f2f2593,BUGGY_COMMIT,/home/aluno/Documentos/go8-replication-tool/ACID/dataset/REPLICATION/124577647/yaml/Pulumi.yaml,2023-11-28T15-38-51
